employeeId,fullName,email,role,isRM,branchId
EMP-089,Employee 89,employee89@sbi.co.in,Customer Service Agent,false,BR-016
EMP-090,Employee 90,employee90@sbi.co.in,Loan Officer,false,BR-018
EMP-091,Employee 91,employee91@sbi.co.in,Loan Officer,false,BR-024
EMP-092,Employee 92,employee92@sbi.co.in,Underwriter,false,BR-019
EMP-093,Employee 93,employee93@sbi.co.in,Compliance Investigator,false,BR-008
EMP-094,Employee 94,employee94@sbi.co.in,Compliance Investigator,false,BR-014
EMP-095,Employee 95,employee95@sbi.co.in,Loan Officer,false,BR-004
EMP-096,Employee 96,employee96@sbi.co.in,Teller,false,BR-022
EMP-097,Employee 97,employee97@sbi.co.in,Compliance Investigator,false,BR-012
EMP-098,Employee 98,employee98@sbi.co.in,Compliance Investigator,false,BR-014
EMP-099,Employee 99,employee99@sbi.co.in,Compliance Investigator,false,BR-024
EMP-100,Employee 100,employee100@sbi.co.in,Teller,false,BR-022
